wordpress	latest	sha256:8801a1239d7ba9fb340a5fc5ba0bf7f8d3652adbd64893e3fba7992ba618108e
postgres	16	sha256:c1b3783309b6499c795eed7c20135a1a4d25cae1b575c3d52c6f536129a1b109
mariadb	11	sha256:2439dcd7d14010ecd1ff7a4e1c5abe8e208c34fe35290744deeeaac3569043c3
bkimminich/juice-shop	latest	sha256:73c53fbf442e8337b3ea3d98c7e8550308854701ebdfce4cc39768f36b75430e
<none>	<none>	<none>
postgres	15	sha256:bcab099bfaab33333a73a2ebe8c1d615c9f4c2402dd43452f989a36c6da9a5ba
mcr.microsoft.com/mssql/server	2022-latest	sha256:e07b9699a2b749969f19d86563ceeea22bd3a69f7f1db85a8d1ac4bdaf0c6f56
uptintranetapifinal.azurecr.io/upt-intranet-api	latest	sha256:7b9763a562bf6cc001244312746fe959dba887c00303a0a037eab3bfd8b23aac
vulnerables/web-dvwa	latest	sha256:dae203fe11646a86937bf04db0079adef295f426da68a92b40e3b181f337daa7
